id,view_count,rating_count,upvote_count,share_count,comment_count
1164,2,0,1,0,0
1163,2,0,1,0,0
1162,1,0,0,0,0
1161,2,0,1,0,0
1160,1,0,1,0,0
1159,0,0,0,0,0
1158,0,0,0,0,0
1157,0,0,0,0,0
1156,0,0,0,0,0
1155,1,0,0,0,0
1154,1,0,0,0,0
1153,5,0,1,0,0
1152,2,0,0,0,0
1151,4,1,0,0,0
1150,2,0,0,0,0
1149,3,0,0,0,0
1148,3,0,0,0,0
1147,5,2,0,0,0
1146,5,0,0,0,0
1145,3,0,0,0,0
1144,3,0,0,0,0
1143,5,0,0,0,0
1142,1,0,0,0,0
1141,2,0,0,0,0
1140,1,0,0,0,0
1139,3,2,0,0,0
1138,1,0,2,0,0
1137,1,0,0,0,0
1136,0,0,0,0,0
1135,1,0,1,0,0
1134,1,0,1,0,0
1133,3,0,0,0,0
1132,1,0,1,0,0
1131,0,0,0,0,0
1129,1,0,0,0,0
1127,1,0,1,0,0
1126,0,0,0,0,0
1125,1,0,0,0,0
1124,0,0,0,0,0
1123,10,0,2,0,0
1122,8,0,2,0,0
1121,4,0,0,0,0
1120,1,0,0,0,0
1119,5,1,1,0,0
1117,4,0,0,0,0
1116,4,0,0,0,0
1115,4,0,0,0,0
1113,3,0,1,0,0
1111,4,0,0,0,0
1110,13,1,4,0,0
1109,5,1,1,0,0
1108,8,3,0,0,0
1107,5,4,0,0,0
1106,4,1,1,0,0
1105,5,2,0,0,0
1104,10,0,2,0,1
1103,4,0,1,0,1
1102,10,2,1,0,0
1101,10,3,1,0,1
1100,9,1,1,0,0
1099,3,0,1,0,0
1098,1,0,1,0,0
1097,1,0,0,0,0
1096,2,0,1,0,0
1092,37,0,5,0,1
1088,126,0,20,1,5
1087,85,0,8,0,1
1086,63,0,10,0,1
1085,49,0,8,0,0
1084,38,0,8,0,0
1083,28,0,8,0,0
1082,29,0,6,0,1
1081,43,0,7,0,1
1080,61,0,8,0,3
1079,68,0,8,0,1
1078,28,0,2,0,0
1077,19,0,3,0,0
1076,13,0,2,0,0
1075,17,0,4,0,1
1074,23,0,2,0,1
1073,19,0,3,2,0
1071,16,0,2,0,0
1070,8,0,0,0,0
1069,4,0,0,0,0
1066,406,0,44,0,16
1065,391,0,48,0,12
1064,460,0,58,0,17
1063,107,14,9,0,3
1062,416,0,43,0,11
1060,84,5,6,0,1
1059,67,17,10,0,1
1057,74,6,14,0,0
1056,48,0,8,0,0
1055,68,0,11,0,0
1054,37,0,6,0,0
1053,42,0,14,0,0
1052,33,0,4,0,1
1050,7,0,0,0,0
1049,5,0,1,0,0
1048,5,0,2,0,1
1047,4,0,0,0,1
1046,1,0,0,0,0
1045,1,0,1,0,0
1044,1,0,0,0,0
1043,3,0,0,0,0
1042,5,0,0,0,0
1041,8,0,0,0,0
1040,1,0,0,0,0
1039,1,0,1,0,0
1038,0,0,0,0,0
1037,1,0,0,0,0
1036,1,0,0,0,0
1035,1,0,0,0,0
1034,2,0,0,0,0
1033,23,0,5,0,0
1032,27,0,7,0,0
1031,27,0,4,0,0
1030,17,0,2,0,0
1029,6,0,0,0,0
1028,8,0,1,0,0
1026,16,0,3,0,0
1025,15,0,3,0,0
1024,5,0,2,0,0
1023,3,0,1,0,0
1022,5,0,1,0,0
1021,1,0,0,0,0
1020,2,0,0,0,0
1019,1,0,0,0,0
1018,2,0,0,0,0
1017,2,0,0,0,0
1016,2,0,0,0,0
1015,2,0,0,0,0
1014,3,0,0,0,0
1013,2,0,0,0,0
1012,2,0,0,0,0
1011,1,0,0,0,0
1010,3,0,0,0,0
1009,1,0,0,0,0
1008,1,0,0,0,0
1007,12,3,0,0,0
1006,33,16,4,0,0
1005,1,0,1,0,0
1004,3,0,1,0,0
1003,4,0,1,0,0
1002,4,0,1,0,0
1001,4,0,3,0,0
1000,2,0,0,0,0
999,0,0,0,0,0
998,1,0,1,0,0
997,21,0,5,0,1
996,9,0,1,0,1
995,3,0,0,0,0
994,2,0,0,0,0
993,2,0,0,0,0
992,3,0,0,0,0
991,1,0,0,0,0
990,0,0,0,0,0
987,3,0,1,0,0
985,4,0,0,0,0
984,20,7,1,0,0
983,14,7,2,0,0
982,3,0,1,0,0
981,0,0,0,0,0
979,64,32,2,0,0
978,5,0,0,0,0
977,2,0,0,0,0
976,1,0,0,0,0
975,1,0,0,0,0
974,1,0,0,0,0
973,2,0,1,0,0
972,10,2,2,0,0
